id_cliente_unico;Recencia;Frequencia;Monetario;R_Score;F_Score;M_Score;FM_Score;Segmento
000949456b182f53c18b68d6babc79c1;129;1;459.9;4;1;3;2.0;Clientes Recentes
000ed48ceeb6f4bf8ad021a10a3c7b43;102;1;19.9;5;1;1;1.0;Clientes Recentes
001926cef41060fae572e2e7b30bd2a4;378;1;329.9;1;1;3;2.0;Hibernando
00196c4c9a3af7dd2ad10eade69c926f;33;1;799.9;5;1;4;2.5;Clientes Recentes
00391594070baf8603f5fdc1d0c6a48c;25;1;199.9;5;1;2;1.5;Clientes Recentes
00444f48f6c9b55657e49435ce3a97ca;447;1;799.9;1;1;4;2.5;Hibernando
00543330561a9088f8b3879114a7b008;279;1;45.9;2;1;1;1.0;Prestes a Hibernar
006c10bfead12ac8d90486fb4ce4e603;77;1;279.9;5;1;3;2.0;Clientes Recentes
006ec5b170182812131c7d9b219c036f;318;1;119.9;2;1;2;1.5;Prestes a Hibernar
0093dbe7f479386a92095026decf825d;276;1;99.9;2;1;2;1.5;Prestes a Hibernar
0096f8cd903cc205efab77d5ae6bb6f1;199;1;159.9;3;1;2;1.5;Promissor
00a02d822b18db532e50e0607e615f3b;16;1;2799.9;5;1;5;3.0;Lealdade Potencial
00a218ea82c458456098caa1c4a7e796;547;1;89.9;1;1;1;1.0;Perdido
00c04df1c94e385d57d4a33a2965217c;182;1;109.9;4;1;2;1.5;Clientes Recentes
00c605c0bfa39610b994c18f822a6d5a;128;1;259.9;4;1;2;1.5;Clientes Recentes
00d7812c158831a996a6b3f4698643b5;11;1;279.9;5;1;3;2.0;Clientes Recentes
00d8a60ad2500432d9edd109cfddfd9e;112;1;89.9;4;1;1;1.0;Clientes Recentes
00db525fd8d4023dc446f0ed2519139f;400;1;45.9;1;1;1;1.0;Perdido
00e04d8e3aaa5ffab327612642ab4564;260;1;8499.9;2;1;5;3.0;Precisam de Atenção
00e707efa5ad9f0e6bcaeeb87910693b;500;1;259.9;1;1;2;1.5;Hibernando
00f326313b0a02392c17028f78338df0;11;1;649.9;5;1;4;2.5;Clientes Recentes
00f8fcf41cceee827e699cc73950218d;100;1;499.9;5;1;3;2.0;Clientes Recentes
01093ce2e3723bdb8de583346d76098c;163;1;89.9;4;1;1;1.0;Clientes Recentes
01399b72331afe80cc0c3a982cafb177;54;1;749.7;5;1;4;2.5;Clientes Recentes
015aba8b6e516fbf6ee76c164c11987b;187;1;219.9;3;1;2;1.5;Promissor
015cd0b039aa3b36cf78f41d8f54e3d0;185;1;39.9;3;1;1;1.0;Promissor
01689985c22786e41347d5167048b25e;41;1;899.69;5;1;4;2.5;Clientes Recentes
016feebfaba953a2456d3a063b8eb8ef;564;1;89.9;1;1;1;1.0;Perdido
017500c32b7353decc3a3a4d91acd0cc;211;1;39.9;3;1;1;1.0;Promissor
018b0a8d048e41f2d1f55e56dcbd335c;401;1;59.9;1;1;1;1.0;Perdido
018c9bbd7d61c91f2abf3cd77b5010ad;227;1;1199.9;3;1;4;2.5;Promissor
019ed386aec9ff0f9eab4a590231174e;30;1;14399.4;5;1;5;3.0;Lealdade Potencial
01b84e3fa2897be6eec7fadddb3d56f3;309;1;39.9;2;1;1;1.0;Prestes a Hibernar
01bfd443225216fd172d2af98ae80068;177;1;259.9;4;1;2;1.5;Clientes Recentes
01c12b236caa6f6d630b985da0ab5d30;374;1;179.9;2;1;2;1.5;Prestes a Hibernar
01c1e31277120e8c6360c6448cbd4c80;206;1;149.9;3;1;2;1.5;Promissor
01c75ebaa6fd123179cc3898fe4d24c4;21;1;279.9;5;1;3;2.0;Clientes Recentes
01cf4a649781b563f650ce1c18b19be6;82;1;1129.9;5;1;4;2.5;Clientes Recentes
01d46b5cad3cda9c22f52df41197a671;504;1;899.9;1;1;4;2.5;Hibernando
01db45606d08e66e2c058ad2f08f5b34;30;1;39.9;5;1;1;1.0;Clientes Recentes
01dbf5ec2334d02e47a8167d3c2e0837;117;1;719.9;4;1;4;2.5;Clientes Recentes
01e123d7c7cedf12af483fc17258b9ce;83;1;4799.6;5;1;5;3.0;Lealdade Potencial
01ea7dfdac01a4e8fbe2902b73510b20;202;1;69.9;3;1;1;1.0;Promissor
01ecc1f1f21f05d0736c99d92646f132;384;1;1799.9;1;1;5;3.0;Em Risco
01ece9ffbb6a00db5549188bc410e878;346;1;3399.9;2;1;5;3.0;Precisam de Atenção
01f382f4c95df31e05e27f1151a015a0;342;1;499.8;2;1;3;2.0;Precisam de Atenção
